#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Mia apņēmīgi iet uz dīķi.
1-1	0-3	Mia	npfsn4	Mia	person	*	*[1]	*->1-1	nsubj	basic	1-3	
1-2	4-12	apņēmīgi	rpm	apņēmīgi	_	_	_	_	advmod	basic	1-3	
1-3	13-16	iet	vmnn0ii000n	iet	_	_	_	_	root	basic	1-3	
1-4	17-19	uz	spsa	uz	_	_	_	_	case	basic	1-5	
1-5	20-24	dīķi	ncmsa2	dīķis	_	_	_	_	obl	basic	1-3	
1-6	24-25	.	zs	.	_	_	_	_	punct	basic	1-3	

#Text=Ūdens vēl nevar būt nekāds siltais.
2-1	27-32	Ūdens	ncmsn2	ūdens	_	_	_	_	nsubj	basic	2-3	
2-2	33-36	vēl	r0t	vēl	_	_	_	_	advmod	basic	2-3	
2-3	37-42	nevar	vonipt330an	nevarēt	_	_	_	_	root	basic	2-3	
2-4	43-46	būt	vcnn0ii000n	būt	_	_	_	_	xcomp	basic	2-6	
2-5	47-53	nekāds	pi0msny	nekāds	_	_	_	_	det	basic	2-6	
2-6	54-61	siltais	afmsnyp	silts	_	_	_	_	xcomp	basic	2-3	
2-7	61-62	.	zs	.	_	_	_	_	punct	basic	2-3	

#Text=Bet viņa tik un tā peldēs.
3-1	64-67	Bet	cc	bet	_	_	_	_	cc	basic	3-6	
3-2	68-72	viņa	pp3fsnn	viņa	_	_	*[1]	*->1-2	nsubj	basic	3-6	
3-3	73-76	tik	r0m	tik	_	_	_	_	advmod	basic	3-6	
3-4	77-79	un	cc	un	_	_	_	_	cc	basic	3-5	
3-5	80-82	tā	r0m	r0m	_	_	_	_	conj	basic	3-3	
3-6	83-89	peldēs	vmnifi330an	peldēt	_	_	_	_	root	basic	3-6	
3-7	89-90	.	zs	.	_	_	_	_	punct	basic	3-6	

#Text=Ja cilvēki būtu bijuši gudrāki, viņi būtu palikuši uz dzīvi ūdenī.
4-1	92-94	Ja	cs	ja	_	_	_	_	mark	basic	4-5	
4-2	95-102	cilvēki	ncmpn1	cilvēks	_	_	*[2]	*->2-1	nsubj	basic	4-5	
4-3	103-107	būtu	vcnc0ii00an	būt	_	_	_	_	aux	basic	4-5	
4-4	108-114	bijuši	vmnpdmpnasnp	būt	_	_	_	_	cop	basic	4-5	
4-5	115-122	gudrāki	afmpnnc	gudrs	_	_	_	_	advcl	basic	4-9	
4-6	122-123	,	zc	,	_	_	_	_	punct	basic	4-5	
4-7	124-128	viņi	pp3mpnn	viņš	_	_	*[2]	*->2-2	nsubj	basic	4-9	
4-8	129-133	būtu	vcnc0ii00an	būt	_	_	_	_	aux	basic	4-9	
4-9	134-142	palikuši	vmnpdmpnasnp	palikt	_	_	_	_	root	basic	4-9	
4-10	143-145	uz	spsa	uz	_	_	_	_	case	basic	4-11	
4-11	146-151	dzīvi	ncfsa5	dzīve	_	_	_	_	obl	basic	4-9	
4-12	152-157	ūdenī	ncmsl2	ūdens	_	_	_	_	obl	basic	4-9	
4-13	157-158	.	zs	.	_	_	_	_	punct	basic	4-9	
