#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Es nenoliedzu - formāli biju pārkāpis, un formāli policijai taisnība.
1-1	0-2	Es	pp10snn	es	nsubj	basic	1-2	
1-2	3-13	nenoliedzu	vmnist11say	nenoliegt	root	basic	1-2	
1-3	14-15	-	zd	-	punct	basic	1-6	
1-4	16-23	formāli	r0m	formāli	advmod	basic	1-6	
1-5	24-28	biju	vcnisii1san	būt	aux	basic	1-6	
1-6	29-37	pārkāpis	vmnpdmsnasnp	pārkāpt	ccomp	basic	1-2	
1-7	37-38	,	zc	,	punct	basic	1-11	
1-8	39-41	un	cc	un	cc	basic	1-11	
1-9	42-49	formāli	r0m	formāli	advmod	basic	1-11	
1-10	50-59	policijai	ncfsd4	policija	obl	basic	1-11	
1-11	60-68	taisnība	ncfsn4	taisnība	conj	basic	1-6	
1-12	68-69	.	zs	.	punct	basic	1-2	

#Text=Te gan jāmin, ka esmu relatīvi daudz pārvietojies ar auto pa rietumvalstu ceļiem - nu nesoda tur par šādiem nebūtiskiem pārkāpumiem, izņemot īpašas situācijas!
2-1	71-73	Te	r0p	te	advmod	basic	2-3	
2-2	74-77	gan	q	gan	discourse	basic	2-3	
2-3	78-83	jāmin	vmnd0t300an	minēt	root	basic	2-3	
2-4	83-84	,	zc	,	punct	basic	2-9	
2-5	85-87	ka	cs	ka	mark	basic	2-9	
2-6	88-92	esmu	vcnipii1san	būt	aux	basic	2-9	
2-7	93-101	relatīvi	r0q	relatīvi	advmod	basic	2-8	
2-8	102-107	daudz	rpq	daudz	advmod	basic	2-9	
2-9	108-120	pārvietojies	vmypdmsnasnp	pārvietoties	ccomp	basic	2-3	
2-10	121-123	ar	spsa	ar	case	basic	2-11	
2-11	124-128	auto	nc0000	auto	iobj	basic	2-9	
2-12	129-131	pa	spsa	pa	case	basic	2-14	
2-13	132-144	rietumvalstu	ncfpg6	rietumvalsts	nmod	basic	2-14	
2-14	145-151	ceļiem	ncmpd1	ceļš	obl	basic	2-9	
2-15	152-153	-	zd	-	punct	basic	2-17	
2-16	154-156	nu	q	nu	discourse	basic	2-17	
2-17	157-163	nesoda	vmnipt330ay	nesodīt	conj	basic	2-3	
2-18	164-167	tur	r0p	tur	advmod	basic	2-17	
2-19	168-171	par	sppd	par	case	basic	2-22	
2-20	172-178	šādiem	pd0mpdn	šāds	det	basic	2-22	
2-21	179-190	nebūtiskiem	afmpdnp	nebūtisks	amod	basic	2-22	
2-22	191-202	pārkāpumiem	ncmpd1	pārkāpums	iobj	basic	2-17	
2-23	202-203	,	zc	,	punct	basic	2-24	
2-24	204-211	izņemot	vmnpu0000000	izņemot	advcl	basic	2-17	
2-25	212-218	īpašas	affpanp	īpaša	amod	basic	2-26	
2-26	219-229	situācijas	ncfpa4	situācija	obj	basic	2-24	
2-27	229-230	!	zs	!	punct	basic	2-3	
