#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Par kukuļņemšanu KNAB izmeklētājs rosina uzsākt kriminālvajāšanu pret četrām bijušajām "Latvenergo" amatpersonām, pret divām no tām - arī par noziedzīgi iegūtu līdzekļu legalizēšanu.
1-1	0-3	Par	_	_	_	_	_	_	_	_	_	_	_	_	spsa	par	_	_	case	basic	1-2	
1-2	4-16	kukuļņemšanu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	kukuļņemšana	_	_	iobj	basic	1-5	
1-3	17-21	KNAB	*	*	*	*	*	*	*	*	*	Abbr=Yes	*	*	yp	KNAB	organization	*	nmod	basic	1-4	
1-4	22-33	izmeklētājs	Masc	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Masc\|Number=Sing	*	*	ncmsn1	izmeklētājs	_	_	nsubj	basic	1-5	
1-5	34-40	rosina	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmnipt330an	rosināt	_	_	root	basic	1-5	
1-6	41-47	uzsākt	*	*	*	*	*	*	*	*	*	Polarity=Pos\|VerbForm=Inf	*	*	vmnn0t1000n	uzsākt	_	_	ccomp	basic	1-5	
1-7	48-64	kriminālvajāšanu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	kriminālvajāšana	_	_	obj	basic	1-6	
1-8	65-69	pret	_	_	_	_	_	_	_	_	_	_	_	_	sppd	pret	_	_	case	basic	1-14	
1-9	70-76	četrām	Fem	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Plur\|NumType=Card	*	*	mcsfpd	četras	_	_	nummod	basic	1-14	
1-10	77-86	bijušajām	Fem	Plur	Dat	Pos	*	*	*	*	*	Case=Dat\|Degree=Pos\|Gender=Fem\|Number=Plur	*	*	arfpdyp	bijusī	_	_	amod	basic	1-14	
1-11	87-88	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	organization[1]	*[1]	punct	basic	1-12	
1-12	88-98	Latvenergo	_	_	_	_	_	_	_	_	_	_	_	_	np0000	Latvenergo	organization[1]	*[1]	nmod	basic	1-14	
1-13	98-99	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	organization[1]	*[1]	punct	basic	1-12	
1-14	100-112	amatpersonām	Fem	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Plur	*	*	ncfpd4	amatpersona	_	_	iobj	basic	1-6	
1-15	112-113	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	_	_	punct	basic	1-20	
1-16	114-118	pret	_	_	_	_	_	_	_	_	_	_	_	_	sppd	pret	_	_	case	basic	1-17	
1-17	119-124	divām	Fem	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Plur\|NumType=Card	*	*	mcsfpd	divas	_	_	ccomp	basic	1-20	
1-18	125-127	no	_	_	_	_	_	_	_	_	_	_	_	_	sppd	no	_	_	case	basic	1-19	
1-19	128-131	tām	Fem	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Plur\|PronType=Dem	*	*	pd0fpdn	tā	_	_	compound	basic	1-17	
1-20	132-133	-	_	_	_	_	_	_	_	_	_	_	_	_	zd	-	_	_	conj	basic	1-5	
1-21	134-137	arī	_	_	_	_	_	_	_	_	_	_	_	_	q	arī	_	_	discourse	basic	1-26	
1-22	138-141	par	_	_	_	_	_	_	_	_	_	_	_	_	spsa	par	_	_	case	basic	1-26	
1-23	142-152	noziedzīgi	_	_	_	_	_	_	_	_	_	_	_	_	r0c	noziedzīgi	_	_	advmod	basic	1-24	
1-24	153-159	iegūtu	Masc	Plur	Gen	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Gen\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Plur\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdmpgpsnp	iegūt	_	_	amod	basic	1-25	
1-25	160-168	līdzekļu	Masc	Plur	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Plur	*	*	ncmpg2	līdzeklis	_	_	nmod	basic	1-26	
1-26	169-181	legalizēšanu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	legalizēšana	_	_	orphan	basic	1-17	
1-27	181-182	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	_	_	punct	basic	1-5	

#Text=Par kukuļdošanu ierosināts saukt pie atbildības četrus ārvalstu komercuzņēmumu pilnvarotos pārstāvjus, savukārt par noziedzīgi iegūtu līdzekļu legalizēšanu - astoņas personas, vienu arī par starpniecību kukuļošanā, kas izdarīta atkārtoti.
2-1	184-187	Par	_	_	_	_	_	_	_	_	_	_	_	_	spsa	par	_	_	case	basic	2-2	
2-2	188-199	kukuļdošanu	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	kukuļdošana	_	_	iobj	basic	2-4	
2-3	200-210	ierosināts	Masc	Sing	Nom	Pos	*	Past	*	*	*	Aspect=Perf\|Case=Nom\|Definite=Ind\|Degree=Pos\|Gender=Masc\|Number=Sing\|Tense=Past\|VerbForm=Part	*	Perf	vmnpdmsnpsnp	ierosināt	_	_	root	basic	2-3	
2-4	211-216	saukt	*	*	*	*	*	*	*	*	*	Polarity=Pos\|VerbForm=Inf	*	*	vmnn0t1000n	saukt	_	_	ccomp	basic	2-3	
