#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Saakašvili 2003. gadā vadīja tā dēvēto rožu revolūciju, kurā tika gāzts parlamenta vēlēšanu rezultātu viltošanā apsūdzētais prezidents Eduards Ševardnadze un pie varas nāca reformistiska, prorietumnieciska valdība.
1-1	0-10	Saakašvili	np0000	Saakašvili	person	https://en.wikipedia.org/wiki/Mikheil\_Saakashvili	_	_	nsubj	basic	1-4	
1-2	11-16	2003.	xo	2003.	time[1]	*[1]	_	_	amod	basic	1-3	
1-3	17-21	gadā	ncmsl1	gads	time[1]	*[1]	_	_	obl	basic	1-4	
1-4	22-28	vadīja	vmnist330an	vadīt	_	_	_	_	root	basic	1-4	
1-5	29-31	tā	r0m	tā	_	_	_	_	advmod	basic	1-6	
1-6	32-38	dēvēto	vmnpdmsapsyp	dēvēt	_	_	_	_	amod	basic	1-8	
1-7	39-43	rožu	ncfpg5	roze	_	_	*[1]	*->1-1	nmod	basic	1-8	
1-8	44-54	revolūciju	ncfsa4	revolūcija	_	_	*[1]	*->1-1	obj	basic	1-4	
1-9	54-55	,	zc	,	_	_	_	_	punct	basic	1-12	
1-10	56-60	kurā	pr0msln	kurš	_	_	*[1]	*->1-2	obl	basic	1-12	
1-11	61-65	tika	vtnisi130an	tikt	_	_	_	_	aux	basic	1-12	
1-12	66-71	gāzts	vmnpdmsnpsnp	gāzt	_	_	_	_	acl	basic	1-8	
1-13	72-82	parlamenta	ncmsg1	parlaments	_	_	_	_	nmod	basic	1-14	
1-14	83-91	vēlēšanu	ncfpg4	vēlēšana	_	_	_	_	nmod	basic	1-15	
1-15	92-101	rezultātu	ncmsa1	rezultāts	_	_	_	_	nmod	basic	1-16	
1-16	102-111	viltošanā	ncfsl4	viltošana	_	_	_	_	acl	basic	1-17	
1-17	112-123	apsūdzētais	vmnpdmsnpsyp	apsūdzēt	_	_	_	_	amod	basic	1-18	
1-18	124-134	prezidents	ncmsn1	prezidents	_	_	*[2]	*->2-1	nmod	basic	1-19	
1-19	135-142	Eduards	npmsn1	Eduards	person[2]	https://en.wikipedia.org/wiki/Eduard\_Shevardnadze[2]	*[2]	*->2-2	obl	basic	1-12	
1-20	143-154	Ševardnadze	npmsn5	Ševardnadze	person[2]	https://en.wikipedia.org/wiki/Eduard\_Shevardnadze[2]	*[2]	*->2-2	flat:name	basic	1-19	
1-21	155-157	un	cc	un	_	_	_	_	cc	basic	1-24	
1-22	158-161	pie	spsg	pie	_	_	_	_	case	basic	1-23	
1-23	162-167	varas	ncfsg4	vara	_	_	_	_	obl	basic	1-24	
1-24	168-172	nāca	vmnisi130an	nākt	_	_	_	_	conj	basic	1-12	
1-25	173-186	reformistiska	arfsnnp	reformistiska	_	_	_	_	amod	basic	1-28	
1-26	186-187	,	zc	,	_	_	_	_	punct	basic	1-27	
1-27	188-205	prorietumnieciska	arfsnnp	prorietumnieciska	_	_	_	_	conj	basic	1-25	
1-28	206-213	valdība	ncfsn4	valdība	_	_	_	_	nsubj	basic	1-24	
1-29	213-214	.	zs	.	_	_	_	_	punct	basic	1-4	
