#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Godājamie deputāti, es nododu jūsu vērtējumam Valdības deklarāciju un komandu, uz kuru es lieku lielas cerības.
1-1	0-9	Godājamie	vmnpdmpnppyp	godāt	_	_	*[3]	*->3-1	amod	basic	1-2	
1-2	10-18	deputāti	ncmpv1	deputāts	_	_	*[3]	*->3-1	parataxis	basic	1-5	
1-3	18-19	,	zc	,	_	_	_	_	punct	basic	1-2	
1-4	20-22	es	pp10snn	es	_	_	*[5]	*->5-1	nsubj	basic	1-5	
1-5	23-29	nododu	vmnipti1san	nodot	_	_	_	_	root	basic	1-5	
1-6	30-34	jūsu	pp20pgn	jūs	_	_	*[3]	*->3-2	det	basic	1-7	
1-7	35-45	vērtējumam	ncmsd1	vērtējums	_	_	_	_	iobj	basic	1-5	
1-8	46-54	Valdības	ncfsg4	valdība	entity[1]|organization[2]	*[1]|https://en.wikipedia.org/wiki/Government\_of\_Latvia[2]	_	_	nmod	basic	1-9	
1-9	55-66	deklarāciju	ncfsa4	deklarācija	entity[1]	*[1]	_	_	obj	basic	1-5	
1-10	67-69	un	cc	un	_	_	_	_	cc	basic	1-11	
1-11	70-77	komandu	ncfsa4	komanda	_	_	*[4]	*->4-1	conj	basic	1-9	
1-12	77-78	,	zc	,	_	_	_	_	punct	basic	1-16	
1-13	79-81	uz	spsa	uz	_	_	*[4]	*->4-2	case	basic	1-14	
1-14	82-86	kuru	pr0fsan	kura	_	_	*[4]	*->4-2	iobj	basic	1-16	
1-15	87-89	es	pp10snn	es	_	_	*[5]	*->5-2	nsubj	basic	1-16	
1-16	90-95	lieku	vmnipt11san	likt	_	_	_	_	acl	basic	1-11	
1-17	96-102	lielas	affpanp	liela	_	_	_	_	amod	basic	1-18	
1-18	103-110	cerības	ncfpa4	cerība	_	_	_	_	obj	basic	1-16	
1-19	110-111	.	zs	.	_	_	_	_	punct	basic	1-5	

#Text=Tā spēs realizēt svarīgu ilgtermiņa mērķi.
2-1	113-115	Tā	pd0fsnn	tā	_	_	*[4]	*->4-3	nsubj	basic	2-2	
2-2	116-120	spēs	vonift130an	spēt	_	_	_	_	root	basic	2-2	
2-3	121-129	realizēt	vmnn0t2000n	realizēt	_	_	_	_	xcomp	basic	2-2	
2-4	130-137	svarīgu	afmsanp	svarīgs	_	_	_	_	amod	basic	2-6	
2-5	138-148	ilgtermiņa	ncfsg1	ilgtermiņš	_	_	_	_	nmod	basic	2-6	
2-6	149-154	mērķi	ncmsa2	mērķis	_	_	_	_	obj	basic	2-3	
2-7	154-155	.	zs	.	_	_	_	_	punct	basic	2-2	

#Text=Šis mērķis ir tautas labklājība modernā, konkurētspējīgā, latviskā un eiropeiskā valstī.
3-1	157-160	Šis	pd0msnn	šis	_	_	_	_	det	basic	3-2	
3-2	161-167	mērķis	ncmsn2	mērķis	_	_	_	_	nsubj	basic	3-5	
3-3	168-170	ir	vcnipii30an	būt	_	_	_	_	cop	basic	3-5	
3-4	171-177	tautas	ncfsg4	tauta	_	_	_	_	nmod	basic	3-5	
3-5	178-188	labklājība	ncfsn4	labklājība	_	_	_	_	root	basic	3-5	
3-6	189-196	modernā	affslnp	moderna	_	_	_	_	amod	basic	3-13	
3-7	196-197	,	zc	,	_	_	_	_	punct	basic	3-8	
3-8	198-213	konkurētspējīgā	affslnp	konkurētspējīga	_	_	_	_	conj	basic	3-6	
3-9	213-214	,	zc	,	_	_	_	_	punct	basic	3-10	
3-10	215-223	latviskā	affslnp	latviska	_	_	_	_	conj	basic	3-6	
3-11	224-226	un	cc	un	_	_	_	_	cc	basic	3-12	
3-12	227-237	eiropeiskā	arfslnp	eiropeiska	_	_	_	_	conj	basic	3-6	
3-13	238-244	valstī	ncfsl6	valsts	_	_	_	_	acl	basic	3-5	
3-14	244-245	.	zs	.	_	_	_	_	punct	basic	3-5	

#Text=Četras 9.Saeimas frakcijas ir vienojušās par kopīgu labēju valdību manā vadībā, un es aicinu visus deputātus, kas tiešām rūpējas par Valdības deklarācijā pausto mērķu sasniegšanu, atbalstīt to.
4-1	247-253	Četras	mcsfpn	četras	_	_	_	_	nummod	basic	4-4	
4-2	254-256	9.	xo	9.	organization[3]	https://en.wikipedia.org/wiki/Saeima[3]	_	_	amod	basic	4-3	
4-3	256-263	Saeimas	ncfsg4	saeima	organization[3]	https://en.wikipedia.org/wiki/Saeima[3]	_	_	nmod	basic	4-4	
4-4	264-273	frakcijas	ncfpn4	frakcija	_	_	_	_	nsubj	basic	4-6	
4-5	274-276	ir	vcnipii30an	būt	_	_	_	_	aux	basic	4-6	
4-6	277-287	vienojušās	vmypdfpnasnp	vienoties	_	_	_	_	root	basic	4-6	
4-7	288-291	par	spsa	par	_	_	_	_	case	basic	4-10	
4-8	292-298	kopīgu	armsanp	kopīgs	_	_	_	_	amod	basic	4-10	
4-9	299-305	labēju	arfsanp	labēja	_	_	_	_	amod	basic	4-10	
4-10	306-313	valdību	ncfsa4	valdība	_	_	_	_	iobj	basic	4-6	
4-11	314-318	manā	ps0fsln	mana	_	_	*[5]	*->5-3	det	basic	4-12	
4-12	319-325	vadībā	ncfsl4	vadība	_	_	_	_	acl	basic	4-10	
4-13	325-326	,	zc	,	_	_	_	_	punct	basic	4-16	
4-14	327-329	un	cc	un	_	_	_	_	cc	basic	4-16	
4-15	330-332	es	pp10snn	es	_	_	*[5]	*->5-4	nsubj	basic	4-16	
4-16	333-339	aicinu	vmnipt31san	aicināt	_	_	_	_	conj	basic	4-6	
4-17	340-345	visus	pg0mpan	viss	_	_	_	_	det	basic	4-18	
4-18	346-355	deputātus	ncmpa1	deputāts	_	_	*[1]	*->1-1	obj	basic	4-16	
4-19	355-356	,	zc	,	_	_	_	_	punct	basic	4-22	
4-20	357-360	kas	pr000nn	kas	_	_	*[1]	*->1-2	nsubj	basic	4-22	
4-21	361-367	tiešām	q	tiešām	_	_	_	_	discourse	basic	4-22	
4-22	368-375	rūpējas	vmyipi230an	rūpēties	_	_	_	_	acl	basic	4-18	
4-23	376-379	par	spsa	par	_	_	_	_	case	basic	4-28	
4-24	380-388	Valdības	ncfsg4	valdība	entity[4]|organization[5]	*[4]|https://en.wikipedia.org/wiki/Government\_of\_Latvia[5]	*[2]	*->2-1	nmod	basic	4-25	
4-25	389-400	deklarācijā	ncfsl4	deklarācija	entity[4]	*[4]	*[2]	*->2-1	obl	basic	4-26	
4-26	401-407	pausto	vmnpdmpgpsyp	paust	_	_	_	_	amod	basic	4-27	
4-27	408-413	mērķu	ncmpg2	mērķis	_	_	_	_	nmod	basic	4-28	
4-28	414-425	sasniegšanu	ncfsa4	sasniegšana	_	_	_	_	iobj	basic	4-22	
4-29	425-426	,	zc	,	_	_	_	_	punct	basic	4-22	
4-30	427-436	atbalstīt	vmnn0t3000n	atbalstīt	_	_	_	_	ccomp	basic	4-16	
4-31	437-439	to	pd0msan	tas	_	_	*[2]	*->2-2	obj	basic	4-30	
4-32	439-440	.	zs	.	_	_	_	_	punct	basic	4-6	
