#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Man bija grūti to pateikt, es pat nobijos no šīs domas.
1-1	0-3	Man	pp10sdn	es	_	_	*[2]	*->2-1	obl	basic	1-3	
1-2	4-8	bija	vcnisii30an	būt	_	_	_	_	aux	basic	1-3	
1-3	9-14	grūti	rpm	grūti	_	_	_	_	root	basic	1-3	
1-4	15-17	to	pd0msan	tas	_	_	_	_	obj	basic	1-5	
1-5	18-25	pateikt	vmnn0t1000n	pateikt	_	_	_	_	ccomp	basic	1-3	
1-6	25-26	,	zc	,	_	_	_	_	punct	basic	1-9	
1-7	27-29	es	pp10snn	es	_	_	*[2]	*->2-2	nsubj	basic	1-9	
1-8	30-33	pat	q	pat	_	_	_	_	discourse	basic	1-9	
1-9	34-41	nobijos	vmyisi11san	nobīties	_	_	_	_	conj	basic	1-3	
1-10	42-44	no	spsg	no	_	_	_	_	case	basic	1-12	
1-11	45-48	šīs	pd0fsgn	šī	_	_	_	_	det	basic	1-12	
1-12	49-54	domas	ncfsg4	doma	_	_	_	_	iobj	basic	1-9	
1-13	54-55	.	zs	.	_	_	_	_	punct	basic	1-3	

#Text=Vai vajag to teikt?
2-1	57-60	Vai	q	vai	_	_	_	_	discourse	basic	2-2	
2-2	61-66	vajag	vonipt330an	vajadzēt	_	_	_	_	root	basic	2-2	
2-3	67-69	to	pd0msan	tas	_	_	_	_	obj	basic	2-4	
2-4	70-75	teikt	vmnn0t1000n	teikt	_	_	_	_	xcomp	basic	2-2	
2-5	75-76	?	zs	?	_	_	_	_	punct	basic	2-2	

#Text=Kā to uztvers Latvijā, kur ir dažādi lībiešu projekti un citas aktivitātes, kur lībieši mēģina spuroties.
3-1	78-80	Kā	r0m	kā	_	_	_	_	advmod	basic	3-3	
3-2	81-83	to	pd0msan	tas	_	_	_	_	obj	basic	3-3	
3-3	84-91	uztvers	vmnift130an	uztvert	_	_	_	_	root	basic	3-3	
